Age,n,KY_F,KY_M,KY_F_proprate,KY_M_proprate,"Beware - placeholder - just all KY movers by age and sex, using 2013 to 2017 geographic mobility (residence ONE year ago) (accessed via IPUMS - very grateful for IPUMS!)"
77,1,0.001193941,0.001266078,0.002626554,0.003198637,
78,1,0.001020223,0.000658066,0.002198717,0.001863578,
79,1,0.000855339,0.000610956,0.00190576,0.00210725,
80,1,0.000956919,0.000803812,0.002362331,0.002522398,
81,1,0.000764063,0.000806757,0.001879131,0.003009624,
82,1,0.00072137,0.000365102,0.001959188,0.001633059,
83,1,0.001104138,0.000527042,0.00342869,0.002392955,
84,1,0.000556485,0.000332714,0.001787734,0.001885021,
85,1,0.000602123,0.000450488,0.002117398,0.002536729,
86,1,0.001127693,0.00037099,0.004061546,0.002528568,
87,1,0.000761119,0.000319464,0.003137287,0.00225244,
88,1,0.000793507,0.000297381,0.004127379,0.00269723,
89,1,0.000485821,0.000166357,0.00236748,0.001960903,
90,1,0,0,0,0,
91,1,0,0,0,0,
92,1,0.000712537,0.00029002,0.002552919,0.002578958,
93,1,0.001438324,0.000503487,0.00331896,0.003124792,
94,1,0,0,0,0,
95,1,0,0,0,0,
96,1,0,0,0,0,
97,1,0,0,0,0,
98,1,0,0,0,0,
99,1,0,0,0,0,
100,Inf,0,0,0,0,
